@N: MF248 |Running in 64-bit mode.
@N: MF707 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adcmem_sp.v":41:0:41:5|Insert external logic with either syn_ramstyle=rw_check attribute or enable 'Read Write Check on RAM' option to resolve read/write conflict for mem_1[15:0] (view:work.ADCMEM_SP(verilog)).
@N: MF707 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adcmem_sp.v":41:0:41:5|Insert external logic with either syn_ramstyle=rw_check attribute or enable 'Read Write Check on RAM' option to resolve read/write conflict for mem[15:0] (view:work.ADCMEM_SP(verilog)).
@N: FX404 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:102|Found addmux in view:work.adc_artifact_cancel(verilog) inst un16_mem_wr_data.if_generate_plus\.mult1_un12_sum_s0[5:0] from un16_mem_wr_data.if_generate_plus\.mult1_un12_sum_d1[5:0] 
@N: FX404 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_fifo.v":176:5:176:6|Found addmux in view:CORESPI_LIB.spi_fifo_4s_4s_2_1(verilog) inst counter_d[5:0] from un1_counter_q[5:0] 
@N: MF707 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:102|Insert external logic with either syn_ramstyle=rw_check attribute or enable 'Read Write Check on RAM' option to resolve read/write conflict for fifo_mem_q[4:0] (view:CORESPI_LIB.spi_fifo_4s_4s_2_1(verilog)).
@N: FX404 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_fifo.v":176:5:176:6|Found addmux in view:CORESPI_LIB.spi_fifo_4s_4s_2_0(verilog) inst counter_d[5:0] from un1_counter_q[5:0] 
@N: MF707 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\adc_artifact_cancel.v":196:92:196:102|Insert external logic with either syn_ramstyle=rw_check attribute or enable 'Read Write Check on RAM' option to resolve read/write conflict for fifo_mem_q[4:0] (view:CORESPI_LIB.spi_fifo_4s_4s_2_0(verilog)).
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_data[2] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_data[3] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_data[4] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_data[5] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_data[6] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_data[7] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_frame[2] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_frame[3] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_frame[4] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_frame[5] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_frame[6] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\cm_demux.v":175:0:175:5|Removing sequential instance cm_demux_0.rx_frame[7] in hierarchy view:work.nmic_if_32s_32s(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_fifo.v":111:0:111:5|Removing sequential instance CORESPI_0.USPI.URXF.full_next_out in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_fifo.v":111:0:111:5|Removing sequential instance CORESPI_0.USPI.URXF.empty_next_out in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_fifo.v":111:0:111:5|Removing sequential instance CORESPI_0.USPI.UTXF.full_next_out in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_fifo.v":111:0:111:5|Removing sequential instance CORESPI_0.USPI.UTXF.empty_next_out in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_chanctrl.v":593:0:593:5|Removing sequential instance CORESPI_0.USPI.UCC.mtx_spi_data_oen in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_chanctrl.v":379:0:379:5|Removing sequential instance CORESPI_0.USPI.UCC.mtx_oen in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\am.v":137:1:137:6|Removing sequential instance cmam_if_wrap_0.cmam_if.am_if.nm_switch[0] in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\hdl\am.v":137:1:137:6|Removing sequential instance cmam_if_wrap_0.cmam_if.am_if.nm_switch[1] in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: BN362 :"c:\users\flb.eecs\desktop\mario_laptop_sf2_newarch\mario_sf2_devbrd\component\actel\directcore\corespi\5.1.104\rtl\vlog\core\spi_chanctrl.v":267:0:267:5|Removing sequential instance CORESPI_0.USPI.UCC.spi_clk_next in hierarchy view:work.Mario_Libero(verilog) because there are no references to its outputs 
@N: FP130 |Promoting Net Mario_Libero_MSS_0_MSS_RESET_N_M2F on CLKINT  I_653 
@N: FP130 |Promoting Net cmam_if_wrap_0.cmam_if.nif.pdma.un1_rstb_i_0_i on CLKINT  I_654 
@N: FP130 |Promoting Net CORESPI_0.USPI.UCC.un1_resetn_tx_i on CLKINT  I_655 
